caseName,type,duration1,sentenceType1,duration2,sentenceType2,duration3,sentenceType3,fineAmount,fineType
2014onsc4288,weapon - drug offences - illegal posession - court-related offences,5 years,imprisonment,3 years,probation,180 hours,community service,,
2016onca415,drug offences - sexual offences,"8 years",imprisonment,,,,,,
2002canlii41547,robbery - weapon,18 months,imprisonment,,,,,,
2005canlii33300,sexual assault,"15 months",conditional sentence,1 year,probation,100 hours,community service,,
2014nwtsc26,sexual assault,5 years,imprisonment,,,,,,
2001mbca83,assault,6 months,imprisonment,18 months,probation,,,,
1995canlii7459,court-related offences - escaping lawful custody,"12 months",imprisonment,,,,,,
2007canlii21925,driving offences ,,,,,,,"1,000, 250",fine
2012mbca39,illegal possession,18 months,imprisonment,,,,,,
2001yktc504,robbery - court-related offences,,,18 months,probation,,,,
2004canlii16369,regulatory offences,,,,,,,"500 , 250, 500, 500, 250, 500, 500, 500, 500, 500, 500, 500, 250, 500, 500",fine
2018yksc2,assault,,,6 months,probation,,,,
2003nbqb272,child pornography,20 months,conditional sentence,3 years,probation,,,,
2009ykca13,drug offences - court-related offences,6 months,conditional sentence,,,,,,
2006oncj22,N/A,,,,,,,,
2013onsc6332,assault,9 months,imprisonment,2 years,probation,,,,
2004skpc90,driving offences,"2 years",conditional sentence,,,150 hours,community service,,
2014onca373,N/A,,,,,,,,
1985canlii2899,N/A,,,,,,,,
1987canlii5077,driving offences,,,,,,,500,fine
2004oncj381,multiple party sentence,,,,,,,,
2001mbca116,multiple party sentence,6 years,,,,,,,
2007oncj442,child pornography,"13 months",conditional sentence,3 years,probation,,,,
2015peca5,drug offences,"6 years",imprisonment,,,,,,
1995canlii6256,homicide,1 year,imprisonment,3 years,probation,,,,
2003canlii48181,fraud,18 months,imprisonment,,,,,,
1994canlii3913,drug offences,"2 1/2 months, 2 1/2 months",imprisonment,2 years,probation,,,,
2014onca555,homicide - weapon,life sentence,imprisonment,,,,,,
2000skca121,robbery,9 months,conditional sentence,2 years,probation,,,,
